Sentence,Sentiment,label,cleaned_sentence
The terms of the transactions remained undisclosed .,neutral,1,The terms of the transactions remained undisclosed
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive,2,Sell Short Position on CNPClosed for Profit
"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .",positive,2,Suominen Corporation estimates that the costcutting program that started in autumn   higher sales prices  and expected growth in volume of Wet Wipes  will make the company s operations more profitable
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,neutral,1,Operating loss totaled EUR mn compared to a profit of EUR mn in the corresponding period in
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,0,insiders got this one wrong Looking for bottom Rsi under
The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,neutral,1,The airline s share price closed down slightly at   xac     US   in Helsinki
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",neutral,1,In Finland  the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive,2,London open Taylor Wimpey and Ashtead drive markets higher Barclays falls
"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",positive,2,Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna  Finland
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",negative,0,At  pm  the OMX Helsinki  was down  pct to  and the OMX Helsinki was  pct lower at  on  mln eur turnover
The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .,neutral,1,The earnings in the comparative period included a capital gain of EUR mn from the sale of OMX shares
Protalix has $ 42 million in cash and no sales .,neutral,1,Protalix has   million in cash and no sales
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",positive,2,Dirk Jones  head of Financial Institutions Client Sales Management  GTS  Citigroup  Inc  said   Citi is extremely pleased to be providing global custody services to Pohjola Group Bank
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .",neutral,1,BasWare Invoice Processing  BasWare Contract Matching  BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare s Enterprise Purchase to Pay solution suite
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,2,Operating profit surged to EURm from EUR
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,1,The fivestorey  ecoefficient building will have a gross floor area of about  sq m It will also include apartments
"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",positive,2,In accordance with our strategy  we strengthened our local presence by establishing a representative office in South Africa in October
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,neutral,1,Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics
$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,negative,0,Will this cold put a dent in the massive horizontal rig production Who knows
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,positive,2,EA Launches Origin Online Game Distribution for Mac  via MacRumors
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive,2,Its main business area  the Glass Machinery Group of Glaston Technologies  is the global market leader in glass processing machines
The total need for staff cuts corresponds to about 300 man-years .,neutral,1,The total need for staff cuts corresponds to about  manyears
"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",positive,2,In a release  the Company said that Vocollect T customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price
"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",positive,2,ooks pretty bullish for now from a shortterm perspective its got a good chance of maybe sliding back to  stocks investing
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,0,Comparable operating profit for the quarter decreased from EURm while sales increased from EURm  as compared to the third quarter
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",neutral,1,The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined  owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates
The situation of coated magazine printing paper will continue to be weak .,negative,0,The situation of coated magazine printing paper will continue to be weak
"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",positive,2,ST PETERSBURG  Oct   PRIMETASS   Finnish tire producer Nokian Tyres plans to invest about  million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia s Leningrad Region in   the company s President Kim Gran told reporters Thursday
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative,0,Operating result showed a loss of EUR  mn  while a year before  it showed a profit of EUR  mn
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",neutral,1,Aldata Solution Oyj Thomas Hoyer CFO More information  Aldata Solution Oyj  Thomas Hoyer  CFO  tel     Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail  wholesale and logistics companies
"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .",neutral,1,The other seats would go to Edgar Edmonds  an American with experience of the clothing and retail industry  and Christian Fischer  an Austrian with experience in the winter sports goods business
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",positive,2,We are delighted to announce our support for Intel based handheld platforms  the capabilities of which have made our development easier and faster
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,0,on lows down  to  BK a real possibility
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,positive,2,LSE gets Hong Kong regulatory nod to HK firms to become LSE members
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,negative,0,Operating loss increased to EUR mn from a loss of EUR  mn in
A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,neutral,1,A filter is used to preprocess packets to determine if they need to be further processed by the processor of the network device
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",neutral,1,The steelmaker said that the drop in profit was explained by the continuing economic uncertainty  mixed with the current drought in bank lending  resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations
"Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",neutral,1,Finnish investment group Neomarkka Oyj  HEL  NEMBV  said today that it will buy the former production facilities of Kuitu Finland Ltd  as part of negotiations on the option to invest in specialty cellulose fiber business
"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",positive,2,Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan  as well as flights between Manchester in the UK and Helsinki in Finland
"Under the agreement Benefon 's forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",neutral,1,Under the agreement Benefon s forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed webbased tracking and location technology  in both consumer and commercial applications
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative,0,near a  drop thats a lot now the best i can do is HOLD ER lol
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",positive,2,For Telenor  the three and a half year contract is worth an estimated  m YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway  Sweden  Denmark and Finland
NYSE owner ICE considers offer for LSE,positive,2,NYSE owner ICE considers offer for LSE
"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .",positive,2,Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of  euro   mln in the first nine months of  versus a net loss of  euro   in the same period of
"Finnish silicon wafers maker Okmetic Oyj said on September 17 , 2008 that it will invest a total of 15 mln euro $ 21.3 mln in its sensor wafer business .",neutral,1,Finnish silicon wafers maker Okmetic Oyj said on September    that it will invest a total of  mln euro   mln in its sensor wafer business
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral,1,Oka specialises in new construction  renovation work of residential and nonresidential building as well as premises for industrial and logistical use
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,0,In JulySeptember   Konecranes  sales decreased to EUR  mn from EUR  mn in JulySeptember
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive,2,There are companies  which are ready to invest their own funds in this deal such as Rostelecom RTS  RTKM
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",neutral,1,The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive,2,chart With  back over support
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",negative,0,SOULLOR the regular scrappy Q  usually presents Sales weak margins down debt still way up
1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,positive,2,Block lamp Harri Koskinen s light was introduced in  and has been a bestseller ever since
Revenues at the same time grew 14 percent to 43 million euros .,positive,2,Revenues at the same time grew  percent to  million euros
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative,0,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of
"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",neutral,1,Through the new production lines at the Novator mill in Veliky Ustjug  Vologda Oblast  Sveza will change its current  m by  m birch plywood production targeting the domestic market to produce  m by  m overlaid birch plywood for the global market
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative,0,Finnish automation solutions developer Cencorp Corporation  OMX Helsinki  CNCV  issued on Thursday   September  a profit warning for the third quarter of
@Vegastrader66 Looks like good entry for $QIHU here.,positive,2,Vegastrader Looks like good entry for  here
The size of a cider bottle will remain unchanged .,neutral,1,The size of a cider bottle will remain unchanged
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",negative,0,Operating profit before nonrecurring items was EUR  mn in the first nine months of   compared to EUR  in the corresponding period in
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,neutral,1,The real estate company posted a net loss of   xa   million   xa   per share compared with a net profit of   xa   million   xa   per share for the corresponding quarter of
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",neutral,1,The company s plant in Russia will continue to make tyres for its near markets  while the plant in Nokia in Finland will manufacture tyres for other markets
What we think ?,neutral,1,What we think
"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",neutral,1,Niina Nenonen  Marimekko s current director for clothing  bags and accessories lines  will take up this role
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",neutral,1,The sale will result in a capital loss of EURm for Solidium  which obtained Tikkurila shares in March
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,0,Fastenal misses by  misses on revenue  NYSE
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,neutral,1,Finnair said that the cancellation of flights would cause daily losses of  xac  million US  million
Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,negative,0,Multi Top on  chart finally leads to a fall in price  Stability is questioned in the stock but coming weeks will tell
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,0,Operating profit fell from EUR  mn in the second quarter of  to EUR  mn in the second quarter of
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",neutral,1,As a result  the company will temporarily layoff   of the whole personnel  approximately  persons at Kirkkonummi and Nivala factories
The contract includes heating plant equipment and associated installation work .,neutral,1,The contract includes heating plant equipment and associated installation work
"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .",neutral,1,The company said that currently the French distribution unit Ragot is located in Loudeac  Normandy  the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in midFrance and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,2,That topped consensus forecasts for earnings of  euros a share
The bridge will be built to the south of the existing bridge spanning the strait .,neutral,1,The bridge will be built to the south of the existing bridge spanning the strait
"Maximum amount of terminations in Finland is 40 employees , the company added .",neutral,1,Maximum amount of terminations in Finland is  employees  the company added
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",neutral,1,However  the company saw its net profit for the third quarter down to EUR  m from EUR  m for the corresponding period of
Sales by Seppala diminished by 6 per cent .,neutral,1,Sales by Seppala diminished by  per cent
"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer .",neutral,1,The method utilises waterborne Ultra products  giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",neutral,1,According to the company  a decision in the issue will be made in the summer of   at the earliest  and in the summer of   at the latest
"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",positive,2,narrows to EUR  m mo   October   Finnish software and hardware developer Elektrobit Oyj HEL  EBGV  or EB  said today that its net loss narrowed to EUR  m for the first nine months of  from EUR  m for the same period a year ago
The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .,neutral,1,The fair value of investment properties was EUR       million
"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .",neutral,1,ALEXANDRIA  Va  May   Matti Harkonen and Pentti Sipponen  both of Espoo  Finland  Osmo Suovaniemi of Helsinki  Finland  and Tapani Tiusanen of Vantaa  Finland  have developed a paper web press device
The financial details of the transaction were not disclosed .,neutral,1,The financial details of the transaction were not disclosed
"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .",neutral,1,The employeremployee talks concerned about  people  that is  the whole staff in Finland
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",neutral,1,Under the agreement  Larox will transfer  employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January
The company does not at present hold any of its own shares .,neutral,1,The company does not at present hold any of its own shares
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,2,I would consider this opportunity to add my position because the company is on the right track they are still improving sales
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive,2,Testing the  day after some consolidation
Other potential clients include public administration organizations investing in utility networks and services .,neutral,1,Other potential clients include public administration organizations investing in utility networks and services
Royal Dutch Shell profit rises; dividend up 4%,positive,2,Royal Dutch Shell profit rises dividend up
Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral,1,Metso s delivery will include a complete coated board line with related air systems and two winders
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",neutral,1,Tecnomen s solution can be used for prepaid and postpaid billing  for charging and rating of voice and video calls  data traffic and any kind of content services in both mobile and fixed networks
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,neutral,1,Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars
TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .,positive,2,TeliaSonera said about   million will be invested in the next year in the region to bring mobile coverage to about   of Nepal s population
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral,1,Teleste was set up in  and is divided into Broadband Cable Networks and Video Networks business areas
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive,2,In the second quarter of   the group s pretax loss narrowed to EUR  from EUR
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",neutral,1,Conference Call To participate via a conference call  please dial in  minutes before the beginning of the event       Europe or   USA
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,1,Poyry is a global consulting and engineering firm focusing on the energy  forest industry and infrastructure  environment sectors
Operating profit improved by 16.7 % to EUR 7.7 mn .,positive,2,Operating profit improved by   to EUR  mn
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",neutral,1,Konecranes Oyj KCRV FH fell  percent to  euros  the biggest fall since June
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",neutral,1,The WebMarela application handles invitations to quote  quote comparisons  agreements  purchases  invoice inspections  inventory management  and deliveries
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,neutral,1,The fixed acquisition price amounts to NOK   approximately EUR   million and additional price NOK   EUR   million at maximum
`` They 've already allocated money for the inventory .,neutral,1,They ve already allocated money for the inventory
"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",neutral,1,Okhta Center area is expected to have about  square metres of office premises by
"HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae .",positive,2,HELSINKI  Finland  Sept     GLOBE NEWSWIRE   Ixonos Plc expands the company s smartphone RD services and establishes a new nextgeneration smartphone design unit in connection with Ixonos  site in Jyvaeskylae
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive,2,Closed short position Small gain Not interested in options expiring worthless
Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,positive,2,Finnish operator Elisa and Aker Yards have signed a longterm service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland
$GALE Breakout Coming Soon!,positive,2,Breakout Coming Soon
STUK today is a full service house expert in radiation and nuclear safety issues .,neutral,1,STUK today is a full service house expert in radiation and nuclear safety issues
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative,0,Cencorp s net sales in the first quarter is estimated to be EUR  m  as compared to EUR  m in the first quarter
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,2,Royal Dutch Shell to Buy BG Group for Nearly  Billion
"The reductions will be implemented immediately , beginning in October 2009 .",neutral,1,The reductions will be implemented immediately  beginning in October
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive,2,Operating result including nonrecurring items rose to EUR mn from a loss of EUR mn in
"Last month , Outokumpu sold more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .",positive,2,Last month  Outokumpu sold more than  percent of its technology unit  Outokumpu Technology Oyj  to further its strategic goal of becoming the world s largest stainless steel maker
Teleste expects to start the deliveries at the end of 2009 .,neutral,1,Teleste expects to start the deliveries at the end of
"The approximately 20,000 dwt vessel has been ordered from India .",neutral,1,The approximately  dwt vessel has been ordered from India
"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .",neutral,1,Helsinkibased Componenta bought Turkish listed company Doktas in October  for  million euros  making it the largest Finnish investment in Turkey to date
"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .",neutral,1,The order values at EUR  mn  and it consists of design services and hardware and software licences
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",positive,2,Xerox and Stora Enso have teamed up to tailor the iGen to the shortrun  ondemand packaging market
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,2,February   Finnish media company Sanoma Oyj HEL  SAAV said yesterday its  net profit almost tripled to EUR  m from EUR  m for  and announced a proposal for a raised payout
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,neutral,1,Kalmar Espana generated net sales of some  mln euro   mln in
$MTD (Mettler-Toledo) ready for a breakout,positive,2,MettlerToledo ready for a breakout
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,2,The Finnish government announced Wednesday that it sold a  percent stake in chemicals and fertilizer group Kemira Oyj for   xac   million   US million   sending the company s share price up  percent
All are welcome .,neutral,1,All are welcome
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,neutral,1,The interchange of EditorsinChief is a part of publisher s goal to enhance job circulation in all personnel groups
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,0,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",neutral,1,ADP News   Feb     Finnish construction company Lemminkainen Oyj  HEL  LEMS  said today its net profit decreased to EUR  million  USD  m  for  from EUR  million for
"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",neutral,1,A total of  new Citycon shares with a nominal value of EUR  per share were subscribed on  April exercising the ABC options based on the company s stock option plan
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral,1,Following the increase the companyEUR TM s capital totals  mln Romanian lei   mln  mln euro
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive,2,Nice little cupandhandle shaping up on the minute Endofday   favours a good day for the index Will we see a gap open
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive,2,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,negative,0,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative,0,Operating profit fell to EUR  mn from EUR  mn in the third quarter of
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",neutral,1,Goldman Sachs Barclays HSBC downplay Brexit threat
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,neutral,1,Elisa has commissioned Finland s Poyry Telecom Oy to conduct a study of reception in some of Estonia s largest cities besides Tallinn
"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",positive,2,in Q   April   Finnish forest machinery and equipment maker Ponsse Oyj HEL  PONV said today that it expects to swing to a net profit of some EUR  m in the first quarter of   from an EUR  m loss a year earlier
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",neutral,1,Country   Switzerland Sector  Pharmaceuticals Target  Synosia Therapeutics Holding AG Buyer  Biotie Therapies Corp Deal size in USD   m Type  Corporate acquisition Financing  Allstock Status  Closed
"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",positive,2,just retested lows  Should rise steadily from here It hit  just  trading days ago and  on Sept  Itll do it again
No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,neutral,1,No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet
"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",positive,2,Recovery has been evident in the liquid handling business  particularly in areas outside Europe and primarily in North America and Asia
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",neutral,1,The port operator  however  favors retaining the port fees in   citing the owner  the governemtn of Estonia  commiting the port to pay EEK mn  EUR  mn USD  mn  in dividends to the state in  and another EEK mn in
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,1,Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive,2,Bilfinger investors cheered the agreement  pushing shares up    or  euro    to  euro    in afternoon trade
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,neutral,1,The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting
